epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8513078,0.1068962,0.2564126,0.034050055,20.0,-0.6096934,0.7,20.0,0.375
1,0.8525631,0.096333675,0.25661135,0.03129062,40.0,-0.55820096,0.95,40.0,0.675
2,0.8518879,0.09183362,0.25663704,0.030325945,60.0,-0.54513055,0.975,60.0,0.875
3,0.8571833,0.09142113,0.25788504,0.030348688,80.0,-0.45414287,1.0,80.0,0.7250000000000001
4,0.86102945,0.09015441,0.25903127,0.030320812,100.0,-0.22192189,1.0,100.0,0.825
5,0.86160856,0.08908614,0.25914666,0.030287242,120.0,-0.1682441,1.0,120.0,0.7749999999999999
6,0.86289907,0.08797451,0.25945622,0.030158171,140.0,-0.08911187,1.0,140.0,0.9
7,0.86473054,0.08720338,0.25992668,0.030121898,160.0,-0.092926316,1.0,160.0,0.8
8,0.86480063,0.08660617,0.25993386,0.030114427,180.0,-0.09023714,1.0,180.0,0.825
9,0.86582804,0.08671069,0.2602056,0.030305723,200.0,-0.063707285,1.0,200.0,0.8
10,0.8659733,0.08660058,0.2602218,0.030328095,220.0,-0.036899935,1.0,220.0,0.875
11,0.8671281,0.08653459,0.26051956,0.030399805,240.0,-0.07869817,1.0,240.0,0.8500000000000001
12,0.8680871,0.08674952,0.26076052,0.030506592,260.0,-0.07143681,1.0,260.0,0.8
13,0.86972064,0.08692258,0.26119888,0.030621901,280.0,-0.1019141,1.0,280.0,0.775
14,0.87033385,0.086847655,0.26137492,0.030659651,300.0,-0.09390068,1.0,300.0,0.7
15,0.8714282,0.086929835,0.2616477,0.030711204,320.0,-0.08847694,1.0,320.0,0.85
16,0.87177277,0.08697769,0.26175228,0.030756691,340.0,-0.039760485,1.0,340.0,0.75
17,0.87185115,0.087044865,0.26175603,0.030808944,360.0,-0.075048946,1.0,360.0,0.875
18,0.87168527,0.08684129,0.26170272,0.030771565,380.0,-0.07983944,1.0,380.0,0.75
19,0.8722312,0.08696693,0.26184955,0.030821338,400.0,-0.11251845,1.0,400.0,0.8
20,0.8727544,0.08705165,0.26200196,0.03086837,420.0,-0.038706917,1.0,420.0,0.725
21,0.8727498,0.08710859,0.2619998,0.03089041,440.0,-0.061938107,1.0,440.0,0.9
22,0.873061,0.086698614,0.2620724,0.030786019,460.0,-0.047799043,1.0,460.0,0.8500000000000001
23,0.87386036,0.08664107,0.26226678,0.03077123,480.0,-0.05202829,1.0,480.0,0.8
24,0.8738713,0.08643991,0.2622652,0.030721271,500.0,-0.027897857,1.0,500.0,0.85
25,0.87421054,0.086426325,0.26234192,0.030719966,520.0,-0.09202851,1.0,520.0,0.875
26,0.874608,0.08632419,0.26244232,0.030704435,540.0,-0.077543855,1.0,540.0,0.8500000000000001
27,0.87485933,0.086277634,0.262505,0.030699357,560.0,-0.07793609,1.0,560.0,0.65
28,0.87459284,0.086169235,0.2624373,0.030682897,580.0,-0.055856273,1.0,580.0,0.875
29,0.87445587,0.08608043,0.26239312,0.030662993,600.0,-0.06351864,1.0,600.0,0.65
30,0.8748056,0.086084165,0.26249045,0.030662838,620.0,-0.065169215,1.0,620.0,0.925
31,0.8748956,0.0860733,0.26250714,0.030677414,640.0,-0.06385904,1.0,640.0,0.675
32,0.87488174,0.08616504,0.26251334,0.030723587,660.0,-0.057960413,1.0,660.0,0.8
33,0.87491316,0.08633531,0.26253322,0.030775163,680.0,-0.06990794,1.0,680.0,0.85
34,0.8747162,0.08629668,0.26247936,0.030766005,700.0,-0.065281026,1.0,700.0,0.8
35,0.87494797,0.08627508,0.2625385,0.030765152,720.0,-0.08167803,1.0,720.0,0.7
36,0.87529206,0.08628511,0.2626237,0.030777711,740.0,-0.077037446,1.0,740.0,0.825
37,0.8749357,0.08626691,0.26252073,0.030782644,760.0,-0.056432307,1.0,760.0,0.7
38,0.8748906,0.086253025,0.26251504,0.03078332,780.0,-0.06505285,1.0,780.0,0.65
39,0.8752802,0.086340524,0.2626267,0.030811016,800.0,-0.073433995,1.0,800.0,0.725
40,0.87537646,0.08636882,0.2626543,0.030827632,820.0,-0.048512705,1.0,820.0,0.8500000000000001
41,0.8755093,0.08633561,0.26269126,0.030826604,840.0,-0.054368563,1.0,840.0,0.8
42,0.87546176,0.08649849,0.26267985,0.030878324,860.0,-0.060803346,1.0,860.0,0.75
43,0.8757069,0.08644422,0.262752,0.0308707,880.0,-0.053597465,1.0,880.0,0.825
44,0.87572867,0.08643808,0.26275682,0.030874515,900.0,-0.0678733,1.0,900.0,0.8
45,0.87555534,0.086240984,0.26271686,0.03082781,920.0,-0.056952745,1.0,920.0,0.825
46,0.87552136,0.086318724,0.26270235,0.030853257,940.0,-0.08944365,1.0,940.0,0.7250000000000001
47,0.8756676,0.08638362,0.26273698,0.030876616,960.0,-0.046749808,1.0,960.0,0.8
48,0.87594223,0.086366795,0.26280493,0.030884713,980.0,-0.059806086,1.0,980.0,0.8
49,0.87615365,0.086286046,0.2628687,0.030865898,1000.0,-0.049329408,1.0,1000.0,0.65
